mean_threshold,min_threshold,n_kept_local,n_escalated,escalation_rate,local_accuracy
-0.4,-2.2,248,21,0.07806691449814127,0.8629032258064516
-0.4,-2.0,247,22,0.08178438661710037,0.8663967611336032
-0.4,-1.8,244,25,0.09293680297397769,0.8688524590163934
-0.4,-1.6,237,32,0.11895910780669144,0.8818565400843882
-0.4,-1.4,225,44,0.16356877323420074,0.9022222222222223
-0.4,-1.2,207,62,0.23048327137546468,0.9371980676328503
-0.4,-1.0,200,69,0.25650557620817843,0.945
-0.4,-0.8,173,96,0.35687732342007433,0.953757225433526
-0.4,-0.6,100,169,0.6282527881040892,0.96
-0.4,-0.4,39,230,0.8550185873605948,0.9487179487179487
-0.4,-0.2,8,261,0.9702602230483272,0.875
-0.4,0.0,1,268,0.9962825278810409,1.0
-0.3,-5.0,237,32,0.11895910780669144,0.8649789029535865
-0.3,-4.8,237,32,0.11895910780669144,0.8649789029535865
-0.3,-4.6,237,32,0.11895910780669144,0.8649789029535865
-0.3,-4.4,237,32,0.11895910780669144,0.8649789029535865
-0.3,-4.2,237,32,0.11895910780669144,0.8649789029535865
-0.3,-4.0,237,32,0.11895910780669144,0.8649789029535865
-0.3,-3.8,237,32,0.11895910780669144,0.8649789029535865
-0.3,-3.6,237,32,0.11895910780669144,0.8649789029535865
-0.3,-3.4,237,32,0.11895910780669144,0.8649789029535865
-0.3,-3.2,237,32,0.11895910780669144,0.8649789029535865
-0.3,-3.0,237,32,0.11895910780669144,0.8649789029535865
-0.3,-2.8,237,32,0.11895910780669144,0.8649789029535865
-0.3,-2.6,237,32,0.11895910780669144,0.8649789029535865
-0.3,-2.4,237,32,0.11895910780669144,0.8649789029535865
-0.3,-2.2,236,33,0.12267657992565056,0.864406779661017
-0.3,-2.0,235,34,0.12639405204460966,0.8680851063829788
-0.3,-1.8,234,35,0.13011152416356878,0.8717948717948718
-0.3,-1.6,228,41,0.1524163568773234,0.8859649122807017
-0.3,-1.4,218,51,0.1895910780669145,0.908256880733945
-0.3,-1.2,203,66,0.24535315985130113,0.9408866995073891
-0.3,-1.0,198,71,0.26394052044609667,0.9494949494949495
-0.3,-0.8,172,97,0.36059479553903345,0.9593023255813954
-0.3,-0.6,100,169,0.6282527881040892,0.96
-0.3,-0.4,39,230,0.8550185873605948,0.9487179487179487
